key,0,1,2,3,4,5
#,Description,Item,GatheringItemLevel,FishingRecordType,TerritoryType,IsVisible
int32,str,Item,GatheringItemLevelConvertTable,FishingRecordType,TerritoryType,bit&01
0,"",0,0,0,0,False
20000,"螺旋階段のような渦巻いた姿が特徴的。殻がもろく、壊れやすいため、完全な形を保っているものは、好事家に珍重される",20144,205,26,613,True
20001,"メスは魚体が黒いが、成長するとオスに変わり鮮やかな色合いに変化する。身を守るため、粘液毒を放出する性質も",20145,205,11,613,True
20002,"海を悠然と泳ぐ巨大なエイ。コウジン族が騎獣として操るシマエイは、このトビエイを長年かけて家畜化したものである",20146,205,12,613,True
20003,"近東のラザハンから渡来した使者が、ひんがしの国の幕府に、この魚を献上。放流したところ、いつの間にか定着したようだ",20147,205,26,613,True
20004,"具足海老と共生し、その存在に誘引されてきたタコを食す。ウツボにとって具足海老は、好物を誘き寄せるエサである",20148,205,11,613,True
20005,"ドマ昔話に登場するトビハゼのトビ男は、のんびりとした性格ながら、生きるとは何かなど、深淵な問いかけをするという",20149,205,26,614,True
20006,"硬い鱗によって捕食者から身を守りつつ、自らは、より小型の魚や甲殻類を食べ散らかす。ドマでは、しぶとさの象徴とされる",20150,205,15,614,True
20007,"釣り針からエサを掠め取ることにかけては、右に出る魚がいない。そのため、釣り人にとっては、心底嫌われる存在である",20151,205,14,614,True
20008,"ドマウナギと比べて大型であるが、味は見劣りする。そのため、価格も安価であり、手頃な値段で食すことが可能だ",20152,205,15,614,True
20009,"淡水に進出した珍しいヤドカリ。巻貝の貝殻を利用して身を守ることで知られ、成長に応じて、新しい物に移り住む",20153,205,26,614,True
20010,"古来からの姿を保った原始的な蟹。大振りの個体が鋏脚を広げると、ヒューラン族の成人男性2人分になることも",20154,210,12,613,True
20011,"突出した額を長鼻に見立てて、海の天狗と呼ばれる。サベネアでは一時、不老長寿の霊薬の材料になるという噂から乱獲された",20155,210,11,613,True
20012,"幅広の背ビレと尻ビレを持つ珍魚。普段は深海に棲息しているため、見かけることが少なく、ヒレの用途など生態には謎が多い",20156,210,12,613,True
20013,"幼体は白と黒の縞模様であり、成長するにつれ姿を変える。そのため、近年まで幼体は別種の鮫と考えられていた",20157,210,12,613,True
